Product Number,Description,Interior Style Recommendation,Application Recommendations
612ABGT612,"Greek Grey presents a bold silver-grey full-body marble with sweeping, directional veining reminiscent of the grand classical stone quarries of the Mediterranean — sophisticated, timeless and unmistakably premium. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that commands attention whether used wall-to-wall or as a focal feature.",Mediterranean luxury; contemporary classic; boutique hotel drama,"Living room floor, feature wall, master bathroom, grand foyer, dining area, luxury commercial"
715ABZ1173,"Pamirs presents a pale cool-grey marble with fine vein detail and a crisp, elevated finish. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary classic; formal minimalism; luxury apartment,"Living room floor, foyer, bathroom wall, kitchen feature wall"
715ABZ1176,"Yulong presents a warm ivory marble with gentle golden veining for a lighter, more welcoming luxury expression. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Quiet luxury; warm classic; hospitality-inspired interiors,"Living room floor, dining area, bathroom wall, master suite"
715Z1200,"Tanggula offers a grey stone surface with mineral depth and occasional warmer highlights, giving it a grounded, natural feel. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Wabi-sabi; contemporary lodge; earthy modern,"Feature wall, living room floor, covered outdoor, bathroom wall, fireplace surround"
715ABYB1240,"Leaf offers a light beige stone with elegant movement and a quiet resort-like softness. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Warm modern; contemporary resort; spa luxury,"Living room floor, bedroom floor, hotel bathroom, wall cladding"
715ABYB1242,"Grey offers a cool grey marble-stone blend with layered veining for understated sophistication. It creates a calm, well-composed backdrop that pairs beautifully with timber, layered neutrals and understated metal details.",Modern luxury; soft contemporary; urban elegant,"Living room floor, dining floor, bathroom wall, feature wall"
715YB1057,"Cold River presents a cool white marble look with soft natural veining for serene, high-end interiors. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary classic; formal modern; hotel-luxe,"Living room floor, feature wall, master bathroom, foyer"
715H1426,"Snow presents a bright white marble look with cool veining and a clean, hotel-luxe presence. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; contemporary classic; premium residential,"Living room floor, grand bathroom, feature wall, reception"
715H1427,"Goose presents a pale greige near-solid surface that keeps rooms open, soft and highly flexible. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Minimal luxe; soft contemporary; resort modern,"Open-plan floor, bathroom wall, bedroom floor, lobby spaces"
GTL1261010,"Glacier is a pristine white marble tile with a delicate linear grain that runs like ice-water through the surface, giving it a refined sense of movement without any busyness. The full-body 600×1200mm format creates seamless, large-scale wall and floor statements that feel genuinely architectural. A tile of crystalline purity for the most considered interiors.",Pure contemporary; white luxury; Scandinavian minimalism; light-filled modern,"Living room wall, bathroom wall, feature wall, grand foyer, luxury retail"
GTL1261911,"Cream presents a warm cream-grey marble with soft, understated veining that brings quiet sophistication to any room. It sits beautifully between warm and cool, making it one of the most versatile options in the collection — equally at home with timber accents, brushed brass, or polished concrete. The full-body glossy finish ensures a premium result in any application.",Warm modern; quiet luxury; transitional classic; soft contemporary,"Living room floor, dining room, bathroom wall, master bedroom, feature wall"
GTL1262211,"Vermeer is a dramatic dark grey marble tile with bold white veining that references the grand stone surfaces of European classical architecture. Its deep, expressive palette makes a powerful statement on both floors and walls, delivering a hotel-luxe intensity that transforms residential spaces into something more exceptional. A tile of genuine visual authority.",Dark luxury; modern drama; boutique hotel; bold contemporary,"Feature wall, living room floor, luxury bathroom, powder room, boutique hospitality"
JM61203,"Sahara brings the warmth of sun-bleached desert stone into the interior, presenting a rich sandy-beige marble body with natural tonal variation that feels both grounded and luminous. The warm, earthy palette works beautifully with natural materials and warm metals to create a calm, sun-filled atmosphere. The full-body glossy construction ensures a premium, seamless finish.",Warm contemporary; organic luxury; desert modern; warm minimalist,"Living room floor, dining room, bathroom wall, feature wall, boutique retail"
JM61207,"Caribbean is a clean mid-grey marble tile with a distinctive linear stone pattern that references the quiet, layered textures of natural coastal formations. Its directional grain creates visual depth and movement while maintaining a restrained, composed palette suitable for contemporary interiors. An architectural stone character in a practical, large-format tile.",Contemporary modern; cool grey; architectural stone; clean minimalist,"Living room floor, dining room, bathroom wall, feature wall, commercial spaces"
LS612101,"Cloud is a barely-there grey marble with an exceptionally soft, almost ethereal surface — a tile that makes rooms feel open, airy, and polished without any visual weight. The delicate veining adds just enough movement to elevate it above a plain white surface. In the large 600×1200mm format, Cloud creates an uninterrupted, hotel-quality floor or wall that defines the room through subtlety.",Contemporary minimalist; quiet luxury; light modern; serene living,"Living room floor, open-plan spaces, bathroom wall, master bedroom, luxury retail"
LS612102,"Tea is a soft, warm grey marble tile with a gentle surface quality that feels both calm and refined. Named for the quietude of a tea ceremony, it brings an unhurried, contemplative character to interiors designed for rest and renewal. The full-body glossy finish ensures the colour depth reads through any application — floor, wall, or feature surface.",Warm minimalist; Japandi; quiet luxury; soft modern,"Living room floor, master bedroom, bathroom wall, dining room, wellness and spa spaces"
LS612103,"Ink Grey is a confident mid-grey marble tile with a smooth, even surface and composed movement — a tile that adds sophistication and gravitas without drama. Its name captures the brushstroke-like quality of its subtle surface character, suggesting the calligraphic precision of East Asian ink art. Versatile across residential and commercial applications.",Contemporary luxury; cool sophisticated; designer grey; modern classic,"Living room floor, dining room, bathroom wall, feature wall, open-plan spaces"
LS612105,"Plain is a warm ivory-cream marble tile of exceptional simplicity — a surface so clean and generous in tone that it makes rooms feel effortlessly welcoming. It is the tile for those who understand that the most sophisticated choice is often the quietest one. The full-body glossy finish ensures a seamless, premium result wherever it is applied.",Pure minimalist; warm luxe; quiet contemporary; timeless classic,"Living room floor, master bedroom, dining room, grand foyer, boutique hotel"
TC126308,"Crystal is a luminous white marble tile with the finest of translucent veining — a surface that seems to hold light within it, like sunlight through alabaster. The full-body construction ensures exceptional colour depth and an immaculate finish that reads as genuinely high-end. In the 600×1200mm large format, Crystal creates a seamless, architectural statement of pure refinement.",Pure luxury; light contemporary; elegant white; gallery living,"Living room floor, dining room, feature wall, grand foyer, luxury bathroom"
TC126501,"Foshan Grey is a clean, well-composed cool grey marble tile with a confident, linear quality that reads modern and precise. Named for the city renowned in China for its ceramics heritage, this tile delivers a professional standard of surface finish trusted by architects and designers for large-scale residential and commercial work.",Contemporary modern; architectural grey; designer residential; clean luxury,"Living room floor, feature wall, dining room, commercial lobby, master bathroom"
TC126508,"Snow-White Skin is a pure white marble tile of extraordinary delicacy, with the finest hairline grey veining running across its pristine surface like brushstrokes on silk. It brings a sense of ceremony and refinement to any wall or floor, creating an interior moment that feels intentional and elevated. A tile of exceptional purity and presence.",Luxury white; pure contemporary; bridal elegance; sophisticated minimalism,"Feature wall, bathroom wall, living room floor, grand foyer, luxury powder room"
TC126510,"Sea Clouds is a soft silver-grey marble tile with a flowing horizontal grain that evokes the movement of cloud formations over open water. Its gentle, directional quality creates a sense of depth and atmosphere on large wall and floor surfaces, making rooms feel both expansive and poetic. The name perfectly captures its serene, atmospheric character.",Serene contemporary; cool luxury; atmospheric modern; quiet residential,"Living room floor, feature wall, bathroom wall, open-plan dining, master bedroom"
TC126511,"Rock presents a warm silver-grey marble with generous natural stone character — a surface that feels genuinely geological in its depth and movement. The warmth in its undertone makes it more approachable than a cold grey, sitting beautifully with timber joinery, brushed brass fittings, and natural textiles. A tile of grounded, organic luxury.",Warm contemporary; natural luxury; transitional stone; organic modern,"Living room floor, dining room, bathroom wall, feature wall, boutique hospitality"
TC126512,"Verona Gray takes its name from the storied Italian marble city, presenting a refined mid-grey marble with structured veining and an unmistakable European character. The glossy surface elevates the natural stone pattern, lending spaces a sense of classical confidence and contemporary precision. A tile that works as well in a contemporary apartment as in a grand villa.",Contemporary classic; Italian luxe; architectural marble; designer modern,"Living room floor, feature wall, master bathroom, dining room, commercial lobby"
TC126550,"Polar Region is a serene light grey marble tile that captures the quiet, vast clarity of arctic stone formations. Its even, pale grey tone is ideal for creating bright, expansive interior environments, while the subtle natural grain prevents it from feeling flat or characterless. A tile of calm authority and quiet sophistication.",Cool minimalist; light luxury; Nordic modern; serene contemporary,"Living room floor, open-plan spaces, bathroom wall, master bedroom, feature wall"
TC126551,"Titan is a compelling dark grey marble tile with structured, confident movement — a tile that anchors a room with authority and intention. Its bold palette and strong surface character make it ideal for statement floors and feature walls where visual impact is the primary design intent. Named for scale and strength, it delivers both with elegance.",Bold contemporary; dark luxury; hotel drama; statement design,"Feature wall, living room floor, luxury bathroom, powder room, boutique hospitality"
TC126806,"Mica Jazz is an exceptional white marble tile with fine gold-grey veining that dances across its surface like improvised brushwork. The name captures its light-catching, improvisational quality — a surface that shifts and sparkles as the light changes throughout the day. Equal parts art and architecture, it is a tile for interiors that aspire to something truly distinctive.",Luxury contemporary; artistic white; glamour modern; editorial design,"Feature wall, living room floor, luxury bathroom, grand foyer, boutique hospitality"
8OGT1227,"Breeze presents a cool silver-grey full-body marble with delicate, barely-there veining and a luminous, mirror-like finish that reads serene and effortlessly upscale. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary minimalism; hotel luxe; quiet luxury,"Living room floor, bedroom floor, feature wall, grand foyer, master bathroom"
8OGT1228,"Light Soft Grey presents a near-white full-body marble with the faintest whisper of warm grey tone — almost seamless, deeply serene and perfect for creating a luminous, expansive envelope. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Minimalist luxury; spa contemporary; modern resort,"Open-plan living, master bathroom, bedroom floor, grand foyer, reception spaces"
GT8861,"Pagani presents a clean light-grey full-body marble with fine natural veining and a crisp, polished read that brings the precision of European stone into a residential setting. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary luxury; modern masculine; hotel-inspired,"Living room floor, feature wall, foyer, master bathroom, commercial lobby"
GT8862X,"McLaren presents a warm olive-grey full-body marble with directional, sweeping veining and an earthy, tailored sophistication that pairs beautifully with dark timber and brushed metal. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Warm luxury; contemporary resort; earthy elegance,"Living room floor, feature wall, master suite, boutique lobby, bar area"
GT8865X,"Bentley presents a pale cool-grey full-body marble with subtle, refined veining and an air of serene, effortless elegance that works across virtually any design direction. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Quiet luxury; contemporary classic; light modern,"Living room floor, bathroom wall, bedroom floor, reception spaces, feature wall"
GT8868X,"Maybach presents a dramatic deep-charcoal full-body marble with bold, sweeping veining for the most statement-led, high-contrast interiors. This is a tile that commands the room. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Dark luxe; modern masculine; boutique hotel drama,"Feature wall, statement floor, powder room, bar frontage, lobby accent"
GT8870,"Lincoln presents a light cool-grey full-body marble with gentle, flowing movement and a composed, upscale character that keeps large areas feeling open and considered. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary luxury; modern classic; quiet hospitality,"Living room floor, foyer, feature wall, open-plan spaces"
GT8871,"White Magnolia presents a near-white cream-ivory full-body marble with the softest natural warmth and an effortlessly expansive feel that makes any room feel brighter and more welcoming. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Minimalist luxury; modern resort; soft contemporary,"Open-plan living, master bedroom, grand foyer, feature wall, hotel-style bathroom"
GT8873,"Wuling presents a soft light-grey full-body marble with a grounded mineral quality and a calm, composed surface that sits beautifully in both residential and hospitality settings. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary resort; quiet luxury; modern Zen,"Living room floor, bedroom, bathroom wall, commercial lounge, feature wall"
GT8875,"Moonlight presents an ethereally light silver-grey full-body marble with barely perceptible movement — clean, serene and endlessly flexible for creating a quietly luxurious, hotel-grade atmosphere. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Spa luxury; minimalist modern; quiet hospitality,"Living room floor, bedroom floor, bathroom wall, open-plan spaces, foyer"
GT8877,"Platinum presents a crisp light-grey full-body marble with an architectural precision and a highly polished, hotel-grade finish that elevates any space it enters. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern luxury; urban contemporary; premium residential,"Living room floor, foyer, bathroom, feature wall, commercial lobby"
GT8878,"Mocha Beige presents a warm ivory-cream full-body marble with a gentle, barely-there warmth and a clean, luminous surface that pairs effortlessly with timber accents and soft furnishings. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Warm luxury; soft contemporary; resort modern,"Living room floor, master bedroom, hotel bathroom, feature wall, open-plan living"
GT8879,"Swiss Snow presents a brilliant near-white full-body marble with the finest, most delicate veining for a pristine, expansive read that is both deeply luxurious and remarkably serene. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Ultra-minimal luxury; hotel contemporary; pristine modern,"Grand foyer, living room floor, bathroom wall, reception spaces, master suite"
GT8890,"Crystal presents a luminous, glass-bright white full-body marble with the most refined surface clarity — pure, expansive and deeply luxurious, with a reflective depth that makes rooms feel truly boundless. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Pristine luxury; light modern; hotel penthouse,"Grand foyer, open-plan floor, master bathroom, feature wall, luxury lobby"
GT8901,"Arden presents a soft warm-cream full-body marble with a gently luminous tone that fills a room with quiet, welcoming elegance — ideal for spaces where warmth and refinement must coexist. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Warm contemporary; resort luxury; modern classic,"Living room floor, bedroom floor, bathroom wall, lobby spaces, boutique hospitality"
GTL81121M,"White Rock presents a pristine near-white full-body marble with the finest natural whisper of stone movement and an expansive, hotel-grade brightness that opens any space effortlessly. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Minimalist luxury; hotel contemporary; pristine modern,"Open-plan living, master bathroom, bedroom floor, grand foyer, reception spaces"
GTL81122M,"Cloud Ink presents a soft light-grey full-body marble with delicate, ink-wash-like movement that reads calming yet refined — the kind of understated surface that grows more beautiful the longer you live with it. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary luxury; Zen modern; quiet hotel aesthetic,"Living room floor, feature wall, bathroom wall, foyer, boutique spa"
GTL81123M,"Ice Jade presents a cool light-grey full-body marble with a finely textured, mineral-rich surface that gives interiors a composed, almost sculptural quality — precise, cool and deeply sophisticated. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Modern resort; urban contemporary; architectural luxury,"Living room floor, bathroom wall, dining area, feature wall, commercial spaces"
GTL81125M,"Seagull presents a medium cool-grey full-body marble with subtle, directional movement and a composed, tailored elegance that anchors a room without overwhelming it. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Contemporary minimalism; modern luxury; urban elegant,"Living room floor, feature wall, foyer, bedroom floor, commercial lobby"
80GT1225,"Cloud Pale Grey presents a softly luminous pale-grey full-body marble with a barely-there stone movement that reads effortlessly open and serene — the kind of surface that makes a large room feel even more expansive. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that works as a complete flooring envelope or in contrast with bold feature walls.",Quiet luxury; hotel minimalism; light contemporary,"Open-plan living floor, bedroom floor, grand foyer, master bathroom, reception spaces, boutique commercial"
8OGT108,"Aliyan Rock presents a near-white full-body marble with the softest, most understated natural movement and a mirror-bright polish that is both deeply calming and genuinely luminous. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that lends the same serene, high-end quality whether your space is classically appointed or strikingly contemporary.",Minimalist luxury; pristine modern; resort hotel,"Open-plan floor, master bathroom, grand foyer, bedroom floor, reception lobby, feature wall"
8OGT1226,"Light Dream Grey presents a soft warm-grey full-body marble with a gently hazy quality — like early morning light filtering through gauze — that gives interiors a composed, almost meditative calm. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that is extraordinarily versatile alongside warm timbers, cool concrete and everything in between.",Warm contemporary; soft luxury; Zen-inspired modern,"Living room floor, bedroom floor, bathroom wall, dining area, foyer, boutique hospitality"
8OGT1416,"June Rain presents a near-white full-body marble with a delicate, rain-like cloud movement across its surface — luminous, serene and possessed of a quality that makes a room feel perpetually fresh. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that works as a seamless all-floor solution or as a light-maximising contrast to darker accent elements.",Quiet luxury; contemporary resort; spa minimalism,"Living room floor, master bedroom, grand foyer, bathroom wall, feature wall, wellness spaces"
8OGT1417,"Fog River South presents an ultra-white full-body marble with the most ephemeral of stone movements — subtle, almost dreamlike — that gives interiors a clarity and spaciousness that is difficult to achieve with any other material. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that makes it the definitive choice for white-on-white luxury schemes.",Pristine luxury; hotel penthouse; pure minimalism,"Grand foyer, open-plan living, master bathroom, reception spaces, bedroom floor, luxury retail"
8OGT1462,"Royal White presents a sophisticated off-white full-body marble with soft directional stone movement and a polished presence that carries the quiet confidence of a premium surface. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that pairs with equal grace alongside bold furnishings or restrained, tone-on-tone schemes.",Classic luxury; contemporary formal; premium residential,"Living room floor, master bathroom, grand foyer, feature wall, dining room floor, high-end retail"
8OGT1463,"Clouds Among Water presents a brilliantly white full-body marble with cloud-feathered movement that gives the surface an almost atmospheric, living quality — captivating at any scale, luminous in any light. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish that elevates grand foyers, statement living rooms and bathroom suites to an entirely new level of refined beauty.",Luxury minimalism; hotel penthouse; light contemporary formal,"Grand foyer, open-plan living floor, master bathroom, feature wall, bedroom floor, boutique luxury hotel"
GT8601,"Roman Jade is a warm ivory marble tile from the Boundless Plain collection, presenting a creamy soft-white ground with delicate pale veining that catches light with quiet elegance. The full-body construction ensures the colour runs through the tile for a consistent, premium finish that looks equally at home on walls and floors.",Warm contemporary; quiet luxury; soft classic; modern living,"Living room floor, master bedroom floor, dining room, foyer, bathroom wall"
GT8620,"Damian Grey is a confident cool-grey marble tile from the Boundless Plain collection, with structured natural movement that gives it a strong, composed presence. The glossy full-body surface creates a polished, expansive feel underfoot while remaining refined and versatile enough to complement almost any interior palette.",Modern luxury; cool contemporary; designer living; urban elegance,"Living room floor, open-plan areas, feature wall, commercial lobby, master bathroom"
GT8633X,"Norway Light Grey is a refined warm-neutral marble tile with a gently mottled surface suggestive of fine-grained Nordic stone. Its understated tone pairs beautifully with natural materials — timber, linen, leather — for a collected, quiet-luxury interior. The full-body glossy construction delivers an expansive, hotel-quality finish.",Warm minimalist; quiet luxury; Scandinavian modern; natural luxe,"Living room floor, open-plan dining, feature wall, master bedroom floor, bathroom wall"
GT8672X,"Westlake Light Grey is a serene cool-grey marble tile with soft, flowing veining that reads calm and composed. The expansive 800×800mm format amplifies the sense of space, while the glossy finish brings a polished hotel-lobby refinement to residential settings. Ideal for large, open living environments where seamless surface continuity matters.",Contemporary luxury; light grey modern; hotel-residential; elegant neutral,"Living room floor, open-plan areas, master bathroom, feature wall, lobby"
GT8675X,"Erhai Light Grey is a barely-there grey marble tile of exceptional subtlety, with fine hairline veining against an almost-white ground. It creates a light, airy atmosphere that makes any room feel more spacious and polished. Named for the serene high-altitude lake in Yunnan, it brings an elevation of quietude to every interior it touches.",Contemporary minimalist; light luxury; serene modern; gallery aesthetic,"Living room floor, master bedroom, open-plan spaces, luxury bathroom, hotel suites"
GT88053M,"Northern Rock is a near-white marble tile with an almost imperceptible surface texture — a tile that gives rooms a clean, luminous quality without any visual competition. It is the ultimate backdrop for statement furniture and curated interiors. The full-body glossy construction ensures the finest possible surface quality and light reflection.",Pure minimalist; light luxury; contemporary white; gallery-style living,"Living room floor, dining room, open-plan spaces, luxury bathroom, retail and commercial"
GT88206M,"Yunchu Light Grey is a luminous, warm-white marble tile with a barely perceptible warmth and almost no visual pattern — a tile that recedes into the background to let architecture and furnishings take centre stage. The reflective surface fills the room with light, making spaces feel larger and more generous than their actual dimensions.",Luxury minimalism; soft contemporary; light-filled living; pure modern,"Living room floor, master bedroom, dining room, foyer, luxury bathroom"
GT8851,"Titan Grey is a rich, mid-tone grey marble tile with generous natural movement and tonal depth that commands attention. It grounds any interior with a sense of permanence and gravitas while remaining elegant and versatile. The name captures its character perfectly — a tile of scale, strength, and compositional confidence.",Modern luxury; dark contemporary; hotel glamour; bold residential,"Living room floor, open-plan areas, feature wall, luxury bathroom, commercial lobby"
GTL88017M,"Quality Grey is an almost-white marble tile with the subtlest of surface textures — a tile that delivers a genuine sense of purity and airiness to any interior. The clean, expansive format works particularly well in open-plan living spaces where a seamless floor surface is desired. Immaculate light reflection and a premium full-body finish.",Pure minimalist; light luxury; contemporary white; airy modern,"Living room floor, master bedroom, dining area, grand foyer, luxury bathroom"
999K006,"Gilded Years presents a dramatic deep green-grey full-body marble with sweeping metallic veining — a rare, collector-quality surface for interiors that make an unmistakable artistic statement. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Art Deco luxury; dark luxe; collector interiors,"Feature wall, statement floor, powder room, boutique retail, bar, reception"
999K008,"Cartier Noir presents a refined jet-black full-body marble with elegant gold-thread veining that draws the eye and anchors any space with confidence. This is dark luxury at its most precise. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Dark luxury; Art Deco; hospitality glamour,"Feature wall, powder room, bar frontage, statement floor, lobby accent"
999K009,"Clouds Pull presents a luminous light-grey full-body marble with scattered golden veining that catches light like a canvas of quiet luxury — sophisticated, warm and endlessly refined. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Quiet luxury; contemporary classic; warm hotel aesthetic,"Living room floor, dining floor, bathroom wall, master suite, feature wall"
999K010,"Fish Maw presents a bright white full-body marble with the finest, most linear golden-grey veining — clean, precise and deeply coveted by designers for grand, light-filled spaces. The reflective surface lifts available light and gives the room a more expansive, hotel-luxe finish.",Classic luxury; contemporary formal; premium residential,"Feature wall, grand bathroom, living room floor, foyer, master suite"
